Theme Name,Type,Default Theme,Accent Color for Mobile Client,Background Color,Control Border,Control Shade,Default Custom Entity Color,Default Entity Color,Global Link Color,Header Color,Hover Link Effect,Logo Tooltip,Navigation Bar Color,Navigation Bar Shelf Color,Selected Link Effect
Blue,Custom,No,#000000,#FFFFFF,#CCCCCC,#F3F1F1,#003c8f,#1e88e5,#1e88e5,#1976d2,#80d6ff,TEST,#004ba0,#002171,#6ab7ff
Brown,Custom,No,#000000,#FFFFFF,#CCCCCC,#F3F1F1,#D1672D,#F77017,#F77017,#D1672D,#fcd3b8,DEVELOPMENT,#7F3914,#998f8b,#fcb485
Green,Custom,No,#000000,#FFFFFF,#CCCCCC,#F3F1F1,#006551,#1C6600,#227F00,#357F19,#ECFFE5,TRAINING,#2E6619,#9DB299,#9FB299
Olive,Custom,No,#8c9900,#FFFFFF,#CCCCCC,#F3F1F1,#827717,#c0ca33,#6c6f00,#afb42b,#f5fd67,DEVELOPMENT,#7c8500,#6c6f00,#d4e157
Orange,Custom,No,#000000,#FFFFFF,#CCCCCC,#F3F1F1,#c67100,#ffa000,#ffa000,#FFA40D,#ffe0b2,TEST,#ff6f00,#bc5100,#F2C479
Pink,Custom,No,#000000,#FFFFFF,#CCCCCC,#F3F1F1,#881155,#E50076,#E50076,#A80056,#FFCCE6,TEST,#A80056,#992255,#F279B7
Purple,Custom,No,#000000,#FFFFFF,#CCCCCC,#F3F1F1,#775577,#A500A8,#A500A8,#881188,#F1DAF2,QA,#7E3F7F,#775577,#DDAADD
Red,Custom,No,#000000,#FFFFFF,#CCCCCC,#F3F1F1,#7f0000,#e53935,#e53935,#c62828,#ffa4a2,TEST,#ab000d,#7f0000,#ff6f60
Turqouise,Custom,No,#000000,#FFFFFF,#CCCCCC,#F3F1F1,#00A8A2,#118888,#006666,#118888,#B2E5E5,UAT,#006662,#557777,#00A8A2
Yellow,Custom,No,#000000,#FFFFFF,#CCCCCC,#F3F1F1,#F2C810,#F2C810,#917E2A,#F2C810,#EDDC90,DEMO,#D3AF10,#edd67d,#F4D95F
